angle,time
-0.06109,147.29032850265503
-0.06109,147.3061718940735
-0.06109,147.32179951667786
-0.06109,147.34692931175232
-0.06109,147.3536615371704
-0.06109,147.36950039863586
-0.06109,147.38509607315063
-0.06109,147.40071773529053
-0.06105,147.4317946434021
-0.05866,147.44930458068848
-0.05866,147.46492719650269
-0.05626,147.48054957389832
-0.05626,147.49639296531677
-0.05383,147.51201796531677
-0.05383,147.52763748168945
-0.05144,147.54693460464478
-0.04905,147.55915880203247
-0.04662,147.57499718666077
-0.04662,147.5906093120575
-0.04419,147.62165093421936
-0.0418,147.63730144500732
-0.03941,147.65308046340942
-0.03698,147.6687114238739
-0.03459,147.68453526496887
-0.0322,147.70015144348145
-0.02977,147.71577215194702
-0.02738,147.73139548301697
-0.02256,147.74709701538086
-0.02018,147.76291513442993
-0.01779,147.77837085723877
-0.01536,147.79396629333496
-0.01297,147.82524371147156
-0.00815,147.8408603668213
-0.00577,147.85657954216003
-0.00334,147.8724377155304
-0.00095,147.88805747032166
0.00144,147.90367317199707
0.00626,147.9193024635315
0.00865,147.9474549293518
0.01108,147.95117592811584
0.01346,147.96698904037476
0.01828,147.9980492591858
0.02067,148.01366710662842
0.02306,148.02932453155518
0.02549,148.04741764068604
0.02788,148.06113719940186
0.03267,148.07696890830994
0.0351,148.09259033203125
0.03749,148.10820698738098
0.03988,148.12382793426514
0.04232,148.14766907691956
0.04471,148.1553840637207
0.04471,148.17120957374573
0.0471,148.20229172706604
0.04954,148.21787405014038
0.05193,148.2334954738617
0.05433,148.249431848526
0.05433,148.26529049873352
0.05672,148.28090596199036
0.05912,148.296532869339
0.05912,148.3121371269226
0.05916,148.32775044441223
0.06155,148.34857177734375
0.06155,148.3747067451477
0.06155,148.39032864570618
0.06395,148.40598368644714
0.06395,148.42177772521973
0.06395,148.4374144077301
0.06395,148.4533667564392
0.06395,148.46920657157898
0.06395,148.48482036590576
0.06391,148.50043749809265
0.06391,148.51605248451233
0.06151,148.53166794776917
0.06151,148.56283617019653
0.06151,148.57846450805664
0.05908,148.59412050247192
0.05908,148.6099352836609
0.05668,148.62555241584778
0.05668,148.64921283721924
0.05424,148.65745639801025
0.05424,148.6733112335205
0.05185,148.68891048431396
0.04945,148.7045385837555
0.04702,148.735600233078
0.04463,148.7516541481018
0.04458,148.76728343963623
0.04219,148.78293824195862
0.0398,148.7986545562744
0.03741,148.8141815662384
0.03497,148.8297996520996
0.03019,148.8493161201477
0.02776,148.86154055595398
0.02537,148.87737941741943
0.02294,148.89299988746643
0.02055,148.908625125885
0.01573,148.9242250919342
0.01334,148.95541524887085
0.01095,148.97107219696045
0.00852,148.98685145378113
0.00613,149.00245666503906
0.00131,149.0179557800293
-0.00107,149.03375792503357
-0.0035,149.049498796463
-0.00589,149.06533312797546
-0.00828,149.08095026016235
-0.0131,149.09656620025635
-0.01548,149.12764382362366
-0.01787,149.1432671546936
-0.0203,149.15899395942688
-0.02269,149.17484283447266
-0.02751,149.19046902656555
-0.0299,149.20607686042786
-0.03228,149.2216854095459
-0.03472,149.23731756210327
-0.0371,149.25321435928345
-0.03949,149.26902985572815
-0.04188,149.30008816719055
-0.04431,149.31570529937744
-0.0467,149.3313262462616
-0.0467,149.35048913955688
-0.04909,149.36318588256836
-0.05148,149.37898111343384
-0.05153,149.394597530365
-0.05392,149.4100592136383
-0.05631,149.4258759021759
-0.05631,149.45068860054016
-0.05631,149.45737600326538
-0.0587,149.48862409591675
-0.0587,149.50424599647522
-0.0587,149.51989936828613
-0.06109,149.53552103042603
-0.06109,149.5507333278656
-0.06109,149.566565990448
-0.06109,149.5821726322174
-0.06109,149.59779477119446
-0.06109,149.61340999603271
-0.06109,149.6290247440338
-0.0587,149.66032147407532
-0.05866,149.67594981193542
-0.05866,149.69160556793213
-0.05627,149.7071933746338
-0.05626,149.7229905128479
-0.05622,149.73860597610474
-0.05383,149.7545030117035
-0.05144,149.77015495300293
-0.05144,149.7858943939209
-0.04901,149.80158400535583
-0.04662,149.81718945503235
-0.04662,149.83279991149902
-0.04423,149.86428451538086
-0.0418,149.87991046905518
-0.03941,149.89554476737976
-0.03702,149.91141867637634
-0.03459,149.92725467681885
-0.0322,149.94287204742432
-0.02977,149.95877814292908
-0.02738,149.97461485862732
-0.02499,149.99023175239563
-0.02256,150.00583600997925
-0.01779,150.02144289016724
-0.01775,150.05294036865234
-0.01297,150.06856727600098
-0.01054,150.0841908454895
-0.00815,150.09999203681946
-0.00338,150.11561465263367
-0.00095,150.13123273849487
0.00144,150.15155911445618
0.00387,150.16273403167725
0.00626,150.17852592468262
0.01103,150.1939890384674
0.01346,150.22522473335266
0.01585,150.24087715148926
0.01828,150.25658130645752
0.02067,150.27222108840942
0.02545,150.28803873062134
0.02788,150.30365586280823
0.03027,150.31928372383118
0.03271,150.33490562438965
0.0351,150.35202026367188
0.03749,150.36671423912048
0.03988,150.38252019882202
0.04232,150.39796257019043
0.04471,150.42923521995544
0.0471,150.44486021995544
0.0495,150.46060132980347
0.04954,150.47641396522522
0.05193,150.49203157424927
0.05433,150.50765180587769
0.05433,150.52326798439026
0.05672,150.53888249397278
0.05672,150.55510592460632
0.05912,150.57092380523682
0.05912,150.60200595855713
0.05916,150.6175971031189
0.06155,150.63322281837463
0.06155,150.65241694450378
0.06155,150.66516041755676
0.06151,150.68101835250854
0.06391,150.69663000106812
0.06391,150.71225595474243
0.06391,150.7278823852539
0.06151,150.7525453567505
0.06151,150.75976824760437
0.06151,150.77561378479004
0.06151,150.80667161941528
0.05912,150.8222587108612
0.05907,150.8378825187683
0.05908,150.8538146018982
0.05668,150.86964869499207
0.05668,150.88527178764343
0.05424,150.90070843696594
0.05424,150.9163155555725
0.05185,150.9319281578064
0.04945,150.9529767036438
0.04702,150.97933959960938
0.04463,150.99496364593506
0.04463,151.01054978370667
0.04219,151.0261709690094
0.0398,151.0418472290039
0.03741,151.05781865119934
0.03497,151.07367420196533
